empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.7,0,50,50,50,non_overlapping
0.6,50,100,50,50,non_overlapping
0.7,100,150,50,50,non_overlapping
0.76,150,200,50,50,non_overlapping
0.72,200,250,50,50,non_overlapping
0.76,250,300,50,50,non_overlapping
0.74,300,350,50,50,non_overlapping
