timestamp,y,y_hat
2025-10-04 02:30:00+02:00,39707.525,41784.7
2025-10-04 02:45:00+02:00,40008.574,41552.42
2025-10-04 03:00:00+02:00,40236.564,41580.48
2025-10-04 03:15:00+02:00,40246.287,41752.95
2025-10-04 03:30:00+02:00,40368.457,41515.95
2025-10-04 03:45:00+02:00,40235.961,41554.17
2025-10-04 04:00:00+02:00,41119.723,41581.0
2025-10-04 04:15:00+02:00,41256.833,41564.78
2025-10-04 04:30:00+02:00,41447.893,41608.02
2025-10-04 04:45:00+02:00,41448.228,41728.68
2025-10-04 05:00:00+02:00,41910.756,42000.65
2025-10-04 05:15:00+02:00,42449.01,41978.56
2025-10-04 05:30:00+02:00,42639.289,41996.83
2025-10-04 05:45:00+02:00,43255.498,42216.05
2025-10-04 06:00:00+02:00,44533.869,42750.93
2025-10-04 06:15:00+02:00,45104.974,43150.8
2025-10-04 06:30:00+02:00,45446.798,43541.81
2025-10-04 06:45:00+02:00,45821.74,44014.74
2025-10-04 07:00:00+02:00,47029.049,44782.74
2025-10-04 07:15:00+02:00,47813.422,45337.23
2025-10-04 07:30:00+02:00,47946.889,46218.6
2025-10-04 07:45:00+02:00,48395.41,47016.67
2025-10-04 08:00:00+02:00,49119.783,47835.45
2025-10-04 08:15:00+02:00,49911.032,48648.6
2025-10-04 08:30:00+02:00,50928.018,49412.5
2025-10-04 08:45:00+02:00,51639.626,50072.98
2025-10-04 09:00:00+02:00,52018.463,50749.66
2025-10-04 09:15:00+02:00,52579.719,51486.07
2025-10-04 09:30:00+02:00,53197.796,51996.38
2025-10-04 09:45:00+02:00,53600.759,52493.96
2025-10-04 10:00:00+02:00,54348.469,52972.54
2025-10-04 10:15:00+02:00,55301.637,53410.51
2025-10-04 10:30:00+02:00,54888.294,53754.07
2025-10-04 10:45:00+02:00,55033.934,54038.31
2025-10-04 11:00:00+02:00,55805.203,54318.15
2025-10-04 11:15:00+02:00,56770.106,54702.64
2025-10-04 11:30:00+02:00,56904.744,54775.24
2025-10-04 11:45:00+02:00,56447.396,54792.72
2025-10-04 12:00:00+02:00,55938.8,54571.32
2025-10-04 12:15:00+02:00,55733.418,54280.66
2025-10-04 12:30:00+02:00,55382.132,54033.25
2025-10-04 12:45:00+02:00,54961.795,53622.4
2025-10-04 13:00:00+02:00,54179.248,53125.05
2025-10-04 13:15:00+02:00,53826.068,52638.4
