pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.596,2.583724514091311e-85,42.25606133333333,4.100865202971704e-09,6.661406476130935,0.01,1087.58354747012,6.530456229026962e-233,1877.279359011656,0.0,2490.882972428511,0.0,z=Phi^{-1}(u),0.9654637376517735,3285.578920395367,0.876,0,250,250,250,non_overlapping
0.548,5.541365210851417e-71,34.119933333333265,5.942405567616049e-09,7.472787040233015,0.01,733.6778639117921,2.5628763087715697e-156,1111.3409053232924,1.8948660741173775e-232,1429.1985786820821,6.106166904807546e-291,z=Phi^{-1}(u),0.8457946940777027,1985.893546038083,0.956,250,500,250,250,non_overlapping
0.584,1.4539526281950582e-81,42.180985333333076,2.3211366939612788e-08,7.452226348468685,0.01,589.100268273061,4.57946247267922e-125,903.3833794970514,1.1907023750215694e-187,1095.8286654678068,1.3793013942053408e-219,z=Phi^{-1}(u),0.7633660515569833,2420.0428012242846,0.948,500,750,250,250,non_overlapping
0.30600000000000005,2.8213068906003115e-21,9.270945333333335,4.660694052915915e-10,0.37131354385152804,0.15,674.2399454278224,1.8223322972601442e-143,871.7759281077022,7.543019955919536e-181,913.4918958392457,1.0560588321377535e-180,z=Phi^{-1}(u),0.8748418287225319,874.1425220340096,0.892,750,1000,250,250,non_overlapping
0.21600000000000003,1.0183309459024838e-10,4.689841333333334,2.0864199257175642e-11,5.842012795699958,0.01,1085.7884774542886,1.5983206186316439e-232,2027.2619917271934,0.0,3447.014312723186,0.0,z=Phi^{-1}(u),0.9575084877183779,956.272932525849,0.64,1000,1250,250,250,non_overlapping
0.646,2.910519432755824e-102,48.05302533333332,5.607126540851937e-09,1.8520883512624096,0.01,661.0815269329461,1.273916793216548e-140,979.582365015663,4.67496930854842e-204,1130.2521640110826,6.100502822507682e-227,z=Phi^{-1}(u),0.7740747335516108,1903.7967016648886,0.732,1250,1500,250,250,non_overlapping
0.6759999999999999,1.4441270204389185e-113,44.61620933333333,9.605932604905831e-09,0.5142306323649564,0.15,616.3723995168734,5.863132384002998e-131,907.7929536207217,1.338802289443788e-188,1018.5962835456664,4.220275720462974e-203,z=Phi^{-1}(u),0.8043616555076453,1639.231698439426,0.944,1500,1750,250,250,non_overlapping
0.492,2.3371552340708976e-56,32.30796533333275,2.458971470886695e-09,10.805084878821788,0.01,594.482811092029,3.147134569751995e-126,981.966692657236,1.432989949667674e-204,1333.4520827156048,2.0240274743707497e-270,z=Phi^{-1}(u),0.7243621077893143,1625.5211391017033,0.924,1750,2000,250,250,non_overlapping
0.75,5.681380857913762e-146,61.777625333325936,1.2134929505691616e-08,32.096808919364946,0.01,793.612412613191,2.786932025695474e-169,1474.0880835716557,9.9531923612885e-311,2383.3878573221673,0.0,z=Phi^{-1}(u),0.8364081871075243,2246.6388436463753,0.836,2000,2250,250,250,non_overlapping
0.462,2.3038090766044473e-49,21.44751333333333,2.8032771659525224e-09,2.801775693991061,0.01,856.7803548348334,6.0000198491093e-183,1292.1258392663553,1.914344468481653e-271,1495.4827377788117,3.709378004737676e-305,z=Phi^{-1}(u),0.926533966675758,830.3560238773506,0.892,2250,2500,250,250,non_overlapping
