pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.596,2.583724514091311e-85,42.25606133333333,4.100865202971704e-09,6.661406476130935,0.01,1087.58354747012,6.530456229026962e-233,1877.279359011656,0.0,2490.882972428511,0.0,z=Phi^{-1}(u),3285.578920395367,0.876,0,250,250,50,overlapping
0.542,2.5936305512290265e-69,37.95366133333327,4.640914541553798e-09,7.152006301887127,0.01,738.9525302143217,1.8535420376749534e-157,1085.2541274093442,7.96273708148044e-227,1273.4334892947952,1.4433024292095927e-257,z=Phi^{-1}(u),2946.662156760857,0.96,50,300,250,50,overlapping
0.39999999999999997,1.3047816410670952e-36,24.68330533333327,2.4358902672716454e-09,5.961483498215557,0.01,794.3490677816916,1.9309304260269324e-169,1229.2421691547916,7.087679945315671e-258,1595.6059973946897,0.0,z=Phi^{-1}(u),2378.5839040005203,0.956,100,350,250,50,overlapping
0.46399999999999997,8.193860173368215e-50,30.30798933333327,7.112121336305677e-09,5.827536364302006,0.01,773.6857248803167,5.696761867852847e-165,1191.39726786535,1.0332054140435085e-249,1579.6605131204517,0.0,z=Phi^{-1}(u),2278.4184508480485,0.956,150,400,250,50,overlapping
0.528,1.6303119291182107e-65,33.62592133333327,4.715231316509971e-09,6.877634109029486,0.01,751.1221135657049,4.32537210812463e-160,1155.7816605809876,4.958890238651101e-242,1581.9691812635365,0.0,z=Phi^{-1}(u),2151.697751371305,0.956,200,450,250,50,overlapping
0.548,5.541365210851417e-71,34.119933333333265,5.942405567616049e-09,7.472787040233015,0.01,733.6778639117921,2.5628763087715697e-156,1111.3409053232924,1.8948660741173775e-232,1429.1985786820821,6.106166904807546e-291,z=Phi^{-1}(u),1985.893546038083,0.956,250,500,250,50,overlapping
0.604,7.026657181056621e-88,39.236365333333325,7.825015635454236e-09,3.25838393156954,0.01,857.6451182046942,3.899665494153285e-183,1537.362318660075,0.0,2366.882625627568,0.0,z=Phi^{-1}(u),2163.0618035168945,0.956,300,550,250,50,overlapping
0.8039999999999999,4.125125941042705e-175,63.52796533333323,1.8358726538991732e-08,15.733825083814395,0.01,419.46711818853635,1.887298654593321e-88,548.6484469734862,1.744634590223184e-111,569.9646570279739,6.0427044153071065e-108,z=Phi^{-1}(u),2681.773574577151,1.0,350,600,250,50,overlapping
0.8099999999999999,9.675612081371343e-179,66.35371733333307,3.4243754054585906e-08,20.64368237372628,0.01,343.51744703561036,4.351744446247425e-72,430.24556410055186,3.40415956816846e-86,445.11952496789536,8.484425100882748e-82,z=Phi^{-1}(u),2836.294916178704,1.0,400,650,250,50,overlapping
0.6900000000000001,3.5990076848729443e-119,57.60539333333307,1.8470212137522424e-08,12.411516446254666,0.01,434.90649460759084,8.844221058859171e-92,590.3804487047014,2.0258903176896177e-120,617.8075353263538,5.084429198007287e-118,z=Phi^{-1}(u),2679.316067184344,1.0,450,700,250,50,overlapping
0.584,1.4539526281950582e-81,42.180985333333076,2.3211366939612788e-08,7.452226348468685,0.01,589.100268273061,4.57946247267922e-125,903.3833794970514,1.1907023750215694e-187,1095.8286654678068,1.3793013942053408e-219,z=Phi^{-1}(u),2420.0428012242846,0.948,500,750,250,50,overlapping
0.472,1.2394980661151106e-51,26.762833333333138,8.901339665357e-09,8.617097819827222,0.01,637.3507144501116,1.715852570324159e-135,935.7375412203477,1.29175616471578e-194,1155.6572808214703,2.266961269237292e-232,z=Phi^{-1}(u),1844.2947176102853,0.928,550,800,250,50,overlapping
0.34800000000000003,1.4671311939192228e-27,13.6542653333333,3.575990614734792e-10,4.9329497711441945,0.01,711.3711504061685,1.708090177830051e-151,1040.7503481803415,3.106941909723258e-217,1208.5332578422945,1.1172182093628491e-243,z=Phi^{-1}(u),1393.4403287317102,0.84,600,850,250,50,overlapping
0.31999999999999995,2.849519146078292e-23,10.707841333333334,1.3137679832908589e-10,0.9697225763817414,0.015766428112801722,788.7102591207074,3.203238162862756e-168,1034.4684283952292,7.01354739647092e-216,1075.7863224214962,2.628957442343491e-215,z=Phi^{-1}(u),1043.991728109195,0.84,650,900,250,50,overlapping
0.274,4.456284348465677e-17,8.809485333333335,1.769074886581734e-10,0.9523913845218317,0.0173711680998304,727.668711589256,5.1080550228286955e-155,923.2006750834927,6.458702968184426e-192,1061.1941877176916,3.4288318379730213e-212,z=Phi^{-1}(u),948.2643360492954,0.84,700,950,250,50,overlapping
0.30600000000000005,2.8213068906003115e-21,9.270945333333335,4.660694052915915e-10,0.37131354385152804,0.15,674.2399454278224,1.8223322972601442e-143,871.7759281077022,7.543019955919536e-181,913.4918958392457,1.0560588321377535e-180,z=Phi^{-1}(u),874.1425220340096,0.892,750,1000,250,50,overlapping
