pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.09199999999999997,0.027200130055279326,0.8086333333332654,0.006922409357633663,4.86271250687048,0.01,315.61853148829505,4.385213022045346e-66,320.65939642551086,6.613688911980821e-63,341.54276266409806,2.4562365341390453e-60,z=Phi^{-1}(u),0.7571920434822168,415.28686450235625,0.844,2300,2550,250,50,overlapping
0.1379999999999999,0.0001292813412389315,2.289269333333269,2.6516738786952487e-06,3.662397945267685,0.01,279.0337041360433,3.210448157456221e-58,282.2935123118874,8.542980133029554e-55,295.3195746382026,7.292522754641448e-51,z=Phi^{-1}(u),0.7430321392707621,381.1244493214412,0.868,2350,2600,250,50,overlapping
0.18599999999999994,4.8100899143053236e-08,3.7708533333330774,1.2504995927642426e-09,7.484431652248475,0.01,341.79963893726415,1.019609512215491e-71,349.00881460217056,6.467328844275132e-69,370.65905553617534,2.4302035336695294e-66,z=Phi^{-1}(u),0.7634495486844921,526.5985971465816,0.82,2400,2650,250,50,overlapping
0.16600000000000004,1.7261388018052337e-06,3.1138413333332697,3.613367527410816e-08,2.4933252113068534,0.01,402.6895490655377,7.808744659045289e-85,409.6475091953718,8.317757697467655e-82,422.6198967738022,4.09807681825126e-77,z=Phi^{-1}(u),0.829065845690022,599.9356846827043,0.816,2450,2700,250,50,overlapping
0.19199999999999995,1.5145111443713852e-08,4.52510533333327,2.7767677046597328e-11,2.5225361422049275,0.01,409.38146913982814,2.819247582384271e-86,419.87621592084605,5.5144987956795765e-84,440.96945880550766,6.213771162095952e-81,z=Phi^{-1}(u),0.8184667828880146,632.3534632999184,0.824,2500,2750,250,50,overlapping
0.16799999999999998,1.2294793527601086e-06,3.030145333333269,5.585952977948949e-08,3.0120275771499507,0.01,427.0415928096903,4.3920551464168525e-90,440.50898737490576,2.2085105789173126e-88,456.4341041657193,3.7098519970762253e-84,z=Phi^{-1}(u),0.8169419702188923,579.3384886557878,0.852,2550,2800,250,50,overlapping
0.09799999999999998,0.015292943042403214,0.8022853333332691,0.007169600131047171,2.9178776453615285,0.01,500.52828705452544,6.1408091521771e-106,527.6992897892878,5.289064248912926e-107,556.6891472690188,3.734138865872051e-105,z=Phi^{-1}(u),0.8486597663708513,630.3975326005723,0.82,2600,2850,250,50,overlapping
0.07199999999999995,0.1425669535852263,0.1984013333333333,0.27068259109438575,0.6385598979717031,0.09604962893731278,446.6264247170947,2.623937287465331e-94,473.65028022472,1.8750575589331152e-95,480.4324827582942,3.610619730416367e-89,z=Phi^{-1}(u),0.8578281312692291,497.645067765436,0.888,2650,2900,250,50,overlapping
0.08600000000000002,0.046649053727068845,0.4896693333333334,0.042231688047480676,1.4724652452284488,0.01,265.99753631367116,2.024850420030949e-55,286.3852594193568,1.1692800863632352e-55,294.7419213407924,9.565663883598322e-51,z=Phi^{-1}(u),0.7765056086157746,358.74257339525434,0.94,2700,2950,250,50,overlapping
0.05400000000000005,0.44406505914255423,0.14735333333332934,0.39795349290198356,1.123479979323065,0.01,324.24935206696006,6.099541910841853e-68,348.8108667399923,7.124082375671165e-69,368.1033784494646,8.198033564170796e-66,z=Phi^{-1}(u),0.7706099771042917,404.2559222937324,0.92,2750,3000,250,50,overlapping
