pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.06400000000000002,0.2467324500849858,0.18356133333243335,0.3018378886902803,17.581978537666146,0.01,241.26770327707044,4.1052571849528913e-50,293.31505328510934,4.0213988726341586e-57,309.5188780639255,9.158409105134127e-54,z=Phi^{-1}(u),218.27995407555872,0.872,0,250,250,250,non_overlapping
0.192,1.514511144371369e-08,2.024849333333281,1.0566262341193955e-05,7.106894614425983,0.01,253.14832916119488,1.1602635572984592e-52,259.6781668093414,4.994534595391974e-50,270.16217365817045,9.55696779596493e-46,z=Phi^{-1}(u),323.032737531679,0.868,250,500,250,250,non_overlapping
0.08200000000000002,0.06550144780628508,0.24042933333333333,0.20114520944329906,0.7098124609768774,0.06660642108393494,229.57675496213093,1.3179970520327607e-47,231.5931061262464,3.980136993907779e-44,234.30811883882777,1.6371123490092035e-38,z=Phi^{-1}(u),220.11922393769854,0.916,500,750,250,250,non_overlapping
0.33799999999999997,5.54564969985033e-26,6.638985333333329,6.719413914169081e-11,8.006780540206591,0.01,250.30290487280422,4.732898539421591e-52,255.5613359299385,3.672072047600068e-49,262.6512200902849,3.1766502276025896e-44,z=Phi^{-1}(u),362.88981485324,0.868,750,1000,250,250,non_overlapping
0.23800000000000002,6.059494887663929e-13,3.2904013333333295,1.4416289717544828e-08,2.616353729970342,0.01,302.43791646057565,2.9958137737666576e-63,305.24875936381454,1.20729885947578e-59,323.1214220689438,1.4964455041781365e-56,z=Phi^{-1}(u),348.8207787226877,0.912,1000,1250,250,250,non_overlapping
0.274,4.456284348465677e-17,8.660581333333138,1.2661227621890703e-10,10.018767079192173,0.01,240.81578183774667,5.13171569169014e-50,265.58542204677855,2.847894828534515e-51,317.71527550356956,1.92075511581764e-55,z=Phi^{-1}(u),420.21155851936317,0.864,1250,1500,250,250,non_overlapping
0.10399999999999998,0.008290637497102085,1.1107813333332972,0.0013346435434796744,4.029679045467361,0.01,264.9412507614141,3.413420918297652e-55,272.96184428870464,7.9430321695318615e-53,306.32954879593257,4.1130605928756875e-53,z=Phi^{-1}(u),364.8029179463362,0.924,1500,1750,250,250,non_overlapping
0.08800000000000002,0.03912975502324034,0.4240973333333334,0.06237213642698558,2.1816689702128826,0.01,207.6023094818353,6.709018111819034e-43,210.1883605643517,1.2049438404080408e-39,229.27874730673818,1.6678564513685306e-37,z=Phi^{-1}(u),269.7979668373667,0.948,1750,2000,250,250,non_overlapping
0.128,0.0004967972491749738,1.2317293333333332,0.0006972463499395065,1.775241088248663,0.01,251.24043377829065,2.9782524037564542e-52,253.16725608090687,1.1710060345645558e-48,280.432454075594,7.850099550971982e-48,z=Phi^{-1}(u),226.9315078448081,0.888,2000,2250,250,250,non_overlapping
0.06000000000000005,0.3164237517245051,0.25370133333325334,0.18370789737198578,5.834546623983471,0.01,347.6502609477744,5.6102204811609505e-73,363.55070456542154,5.290605765564339e-72,397.3166752283244,7.362167894534039e-72,z=Phi^{-1}(u),421.0703795096006,0.836,2250,2500,250,250,non_overlapping
