empirical_coverage,window_start,window_end,window_len,window_step,window_mode,governance_label,reason_codes,reason_summary
0.56,0,50,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.340 (target=0.900).
0.58,50,100,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.320 (target=0.900).
0.58,100,150,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.320 (target=0.900).
0.5,150,200,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.400 (target=0.900).
0.54,200,250,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.360 (target=0.900).
0.66,250,300,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.240 (target=0.900).
0.52,300,350,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.380 (target=0.900).
