timestamp,z_pv,z_wind,u_pv,u_wind
2015-04-06 12:00:00,0.0,-0.6188730405486286,0.5,0.268
2015-04-06 13:00:00,0.020054370352950636,-0.4901892317152094,0.508,0.312
2015-04-06 14:00:00,0.08029831289205504,-0.8852904488296415,0.532,0.188
2015-04-06 15:00:00,0.26890862445370967,-0.606775363514265,0.606,0.272
2015-04-06 16:00:00,0.26371439822153003,-0.8632500515934205,0.604,0.194
2015-04-06 17:00:00,0.2741101160351471,-0.986271298702238,0.608,0.162
2015-04-07 04:00:00,0.2741101160351471,0.3584587932511938,0.608,0.64
2015-04-07 05:00:00,0.1509692154967774,0.8203791459684608,0.56,0.794
2015-04-07 06:00:00,0.02506890825871106,1.7279343223884185,0.51,0.958
2015-04-07 07:00:00,0.03008407662018911,1.3786587286232774,0.512,0.916
2015-04-07 08:00:00,0.015040336678635672,0.9700932766287369,0.506,0.834
2015-04-07 09:00:00,-0.03008407662018911,2.6520698079021954,0.488,0.996
2015-04-07 10:00:00,-0.0953963690568919,2.257129244486225,0.462,0.988
2015-04-07 11:00:00,-0.5947658468016781,1.825006821146403,0.276,0.966
2015-04-07 12:00:00,-0.6619550962881617,2.0537489106318225,0.254,0.98
2015-04-07 13:00:00,0.0,2.257129244486225,0.5,0.988
2015-04-07 14:00:00,0.03008407662018911,1.7743819103449567,0.512,0.962
2015-04-07 15:00:00,0.11051620356204181,1.7506860712521692,0.544,0.96
2015-04-07 16:00:00,0.1509692154967774,1.2265281200366105,0.56,0.89
2015-04-07 17:00:00,0.02506890825871106,0.5417365601128167,0.51,0.706
2015-04-08 04:00:00,0.08532879488562917,0.5947658468016781,0.534,0.724
2015-04-08 05:00:00,-0.05015358346473367,0.2070126233851871,0.48,0.582
2015-04-08 06:00:00,0.05015358346473367,-0.06521853970954372,0.52,0.474
2015-04-08 07:00:00,-0.07024331382191673,-0.02506890825871106,0.472,0.49
2015-04-08 08:00:00,-0.0752698620998299,-0.03510000177270885,0.47,0.486
2015-04-08 09:00:00,-0.3265609274123727,-0.020054370352950636,0.372,0.492
2015-04-08 10:00:00,-0.19167090224842007,0.03008407662018911,0.424,0.512
2015-04-08 11:00:00,-0.37992646704130745,-0.03008407662018911,0.352,0.488
2015-04-08 12:00:00,-0.03510000177270885,0.0401168101849681,0.486,0.516
2015-04-08 13:00:00,0.045134628481421316,0.02506890825871106,0.518,0.51
2015-04-08 14:00:00,-0.020054370352950636,-0.045134628481421316,0.492,0.482
2015-04-08 15:00:00,0.02506890825871106,0.13577393130211166,0.51,0.554
2015-04-08 16:00:00,-0.020054370352950636,0.015040336678635672,0.492,0.506
2015-04-08 17:00:00,-0.24817371845931255,0.31600330441248287,0.402,0.624
2015-04-08 18:00:00,-0.4845437824410791,0.0401168101849681,0.314,0.516
2015-04-08 22:00:00,-0.6371916745044746,-0.41246312944140473,0.262,0.34
2015-04-08 23:00:00,-0.12566134685507402,-0.2741101160351471,0.45,0.392
2015-04-09 04:00:00,-0.07024331382191673,-0.5244005127080409,0.472,0.3
2015-04-09 05:00:00,-0.14590042003299383,-0.35311797197368927,0.442,0.362
2015-04-09 06:00:00,-0.3054807880993974,0.02506890825871106,0.38,0.51
2015-04-09 07:00:00,-0.020054370352950636,0.0551738021383168,0.492,0.522
2015-04-09 08:00:00,0.0903614371292588,-0.08532879488562903,0.536,0.466
2015-04-09 09:00:00,0.02506890825871106,-0.010026681100274765,0.51,0.496
2015-04-09 10:00:00,-0.020054370352950636,0.11051620356204181,0.492,0.544
2015-04-09 11:00:00,0.1611185885107453,0.10547362176886818,0.564,0.542
2015-04-09 12:00:00,0.1865671818365193,0.2224032269272062,0.574,0.588
2015-04-09 13:00:00,0.39614237389269835,0.2585272773163097,0.654,0.602
2015-04-09 14:00:00,0.43439724225978144,0.14083537039712737,0.668,0.556
2015-04-09 15:00:00,0.4732988254324371,-0.1307159681198632,0.682,0.448
2015-04-09 16:00:00,0.38532046640756773,0.13577393130211166,0.65,0.554
2015-04-09 17:00:00,0.2585272773163097,0.045134628481421316,0.602,0.518
2015-04-09 18:00:00,-0.0551738021383168,0.0,0.478,0.5
2015-04-09 22:00:00,-0.11051620356204167,0.08532879488562917,0.456,0.534
2015-04-09 23:00:00,-0.02506890825871106,0.045134628481421316,0.49,0.518
2015-04-10 04:00:00,0.0401168101849681,0.015040336678635672,0.516,0.506
2015-04-10 05:00:00,0.19167090224841993,0.0752698620998299,0.576,0.53
2015-04-10 06:00:00,0.4399131656732339,0.2533471031357997,0.67,0.6
2015-04-10 07:00:00,0.3584587932511938,-0.0752698620998299,0.64,0.47
2015-04-10 08:00:00,0.13071596811986333,0.14590042003299397,0.552,0.558
2015-04-10 09:00:00,0.2585272773163097,0.09539636905689204,0.602,0.538
2015-04-10 10:00:00,0.27931903444745415,0.2585272773163097,0.61,0.602
2015-04-10 11:00:00,0.21213719831752412,0.27931903444745415,0.584,0.61
2015-04-10 12:00:00,0.0903614371292588,0.10547362176886818,0.536,0.542
2015-04-10 13:00:00,-0.010026681100274765,0.2224032269272062,0.496,0.588
2015-04-10 14:00:00,0.06521853970954372,0.30023225938072184,0.526,0.618
2015-04-10 15:00:00,0.03008407662018911,0.37454349919944274,0.512,0.646
2015-04-10 16:00:00,0.060195411728956635,0.43439724225978144,0.524,0.668
2015-04-10 17:00:00,0.12060993411930736,0.1611185885107453,0.548,0.564
2015-04-10 18:00:00,-0.0551738021383168,0.13577393130211166,0.478,0.554
2015-04-10 23:00:00,-0.4179276716694818,-0.46211340177637733,0.338,0.322
2015-04-11 04:00:00,-0.6871312867954694,-4.753424308822899,0.246,1e-06
2015-04-11 05:00:00,-0.6807969187645748,-1.9431337511050666,0.248,0.026
2015-04-11 06:00:00,-0.5887932119109196,-1.6849407678719148,0.278,0.046
2015-04-11 07:00:00,0.010026681100274765,-2.408915545815461,0.504,0.008
2015-04-11 08:00:00,0.07024331382191673,-4.753424308822899,0.528,1e-06
2015-04-11 09:00:00,-0.010026681100274765,-1.2930319761442421,0.496,0.098
2015-04-11 10:00:00,-0.020054370352950636,-1.2265281200366098,0.492,0.11
2015-04-11 11:00:00,-0.03510000177270885,-2.3263478740408408,0.486,0.01
2015-04-11 12:00:00,-0.060195411728956635,-2.5121443279304616,0.476,0.006
2015-04-11 13:00:00,0.07024331382191673,-4.753424308822899,0.528,1e-06
2015-04-11 14:00:00,-0.17637416478086135,-2.6520698079021954,0.43,0.004
2015-04-11 15:00:00,0.05015358346473367,-2.408915545815461,0.52,0.008
2015-04-11 16:00:00,-0.020054370352950636,-1.3917437793963248,0.492,0.082
2015-04-11 17:00:00,0.0903614371292588,-0.40701087626446564,0.536,0.342
2015-04-11 18:00:00,0.09539636905689204,-0.045134628481421316,0.538,0.482
2015-04-11 22:00:00,0.07024331382191673,0.21213719831752412,0.528,0.584
2015-04-11 23:00:00,-0.03510000177270885,0.5475513533264013,0.486,0.708
2015-04-12 04:00:00,-0.03510000177270885,2.878161739095483,0.486,0.998
2015-04-12 05:00:00,0.03008407662018911,2.878161739095483,0.512,0.998
2015-04-12 06:00:00,0.08532879488562917,4.753424308817087,0.534,0.999999
2015-04-12 07:00:00,0.12060993411930736,4.753424308817087,0.548,0.999999
2015-04-12 08:00:00,0.2070126233851871,4.753424308817087,0.582,0.999999
2015-04-12 09:00:00,0.11051620356204181,2.878161739095483,0.544,0.998
2015-04-12 10:00:00,0.1155615971053833,4.753424308817087,0.546,0.999999
2015-04-12 11:00:00,0.08532879488562917,2.14441062091184,0.534,0.984
2015-04-12 12:00:00,0.045134628481421316,1.6645628612027212,0.518,0.952
2015-04-12 13:00:00,0.0752698620998299,1.6257633862332344,0.53,0.948
2015-04-12 14:00:00,0.06521853970954372,1.2372345991628273,0.526,0.892
2015-04-12 15:00:00,0.03510000177270885,0.9700932766287369,0.514,0.834
2015-04-12 16:00:00,-0.06521853970954372,1.3285393288568095,0.474,0.908
2015-04-12 17:00:00,-0.15096921549677725,0.4901892317152093,0.44,0.688
2015-04-12 18:00:00,0.03510000177270885,0.6371916745044746,0.514,0.738
2015-04-12 22:00:00,0.06521853970954372,0.34246630146539064,0.526,0.634
2015-04-12 23:00:00,-0.010026681100274765,0.5072206605869457,0.496,0.694
2015-04-13 04:00:00,0.0,0.05015358346473367,0.5,0.52
2015-04-13 05:00:00,-0.045134628481421316,-0.43439724225978127,0.482,0.332
2015-04-13 06:00:00,0.10547362176886818,-1.3786587286232772,0.542,0.084
2015-04-13 07:00:00,0.07024331382191673,-0.11051620356204167,0.528,0.456
