pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.29600000000000004,1.7444976709701723e-07,2.976434222214667,5.350748943921957e-08,2.810010020662844,0.01,16.658038017400802,0.005196144019473441,19.678985127950057,0.03243939520466155,34.52053708819909,0.02281168841813894,z=Phi^{-1}(u),0.3990440210636578,820.1254159105436,0.9777777777777777,0,90,90,90,non_overlapping
0.23155555555555551,0.00010016388132884811,2.0866644444397666,6.718519995674299e-06,2.7827085726245286,0.01,2.4980109602210336,0.7767945946433434,7.9515618223672675,0.6335684254295003,15.678219357824837,0.7363755893971315,z=Phi^{-1}(u),0.025112450777495812,589.4477739344928,0.9666666666666667,90,180,90,90,non_overlapping
0.2884444444444444,4.002794041855166e-07,2.586988444440389,4.5013741456489953e-07,2.114723134178263,0.01,2.2405456372692996,0.8149582585509159,6.6633894604114845,0.7567948359304293,15.549648636109128,0.7441408880065434,z=Phi^{-1}(u),0.12489995248068396,536.8734020998409,0.9888888888888889,180,270,90,90,non_overlapping
0.24755555555555553,2.4105301587961954e-05,1.9824626666616665,1.176837112948359e-05,2.646729578054007,0.01,3.032059228784185,0.6950430737776789,6.157291024348704,0.8018796858369104,20.019809651999722,0.45669113665556577,z=Phi^{-1}(u),0.10720503030589508,619.4404727469945,0.9555555555555556,270,360,90,90,non_overlapping
0.2884444444444444,4.002794041855166e-07,2.832271111105011,1.1813462774679095e-07,3.0093167067073523,0.01,12.133259188912021,0.033006748728688855,15.6741394673617,0.10934825121370968,22.734993669640925,0.3019934956292494,z=Phi^{-1}(u),0.2837761134335251,657.9236349307308,0.9444444444444444,360,450,90,90,non_overlapping
0.2853333333333333,5.597165052294086e-07,2.727204888885411,2.097992487515299e-07,2.0626262802468034,0.01,9.257109895003513,0.09923800835597164,15.221216981285265,0.12420241601251074,34.257090324101604,0.02443727596097168,z=Phi^{-1}(u),0.15155644261714368,539.4782270744438,0.9666666666666667,450,540,90,90,non_overlapping
0.2944444444444444,2.0737333403983597e-07,2.0972248888855,6.347307579090966e-06,2.7019214925689425,0.01,8.724221270731437,0.12058267816945044,13.820755180059773,0.18132564009067106,19.692226365495397,0.47732443012049597,z=Phi^{-1}(u),0.183355948934808,399.94220562342616,0.9888888888888889,540,630,90,90,non_overlapping
0.26022222222222224,7.2704603079864954e-06,2.607971111106667,4.0158958425351443e-07,2.4310800265930084,0.01,2.6909844316266667,0.7474969796161544,8.087094389414524,0.6203299270065588,14.891178109732795,0.7826001809863989,z=Phi^{-1}(u),0.08752584341193462,693.1847711374953,0.9666666666666667,630,720,90,90,non_overlapping
0.27088888888888885,2.5227190422928666e-06,2.3069115555491333,2.0502120444687577e-06,2.7068182184632263,0.01,10.156883566676639,0.07091011909172723,18.3011672719912,0.050090958460988586,25.467979994250904,0.18411015431227526,z=Phi^{-1}(u),0.21605305160480495,786.8673383308379,0.9666666666666667,720,810,90,90,non_overlapping
0.18399999999999994,0.0038637842767496045,1.045496444441989,0.001850243530911344,3.6039784288210512,0.01,9.921216597482422,0.07749856499772584,17.595872206003243,0.06217554488347761,26.93997875088084,0.1369611097963926,z=Phi^{-1}(u),0.029650669384524788,455.53263510086174,0.9444444444444444,810,900,90,90,non_overlapping
0.2633333333333334,5.364235097853568e-06,2.1194831111088,5.6305953162194555e-06,2.4631078944662192,0.01,7.108926514463322,0.2126645418741243,19.56334252202038,0.03366399117002003,35.374171434558356,0.018199642102579225,z=Phi^{-1}(u),0.240225946793507,397.99133665968986,0.9777777777777777,900,990,90,90,non_overlapping
