pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.29600000000000004,1.7444976709701723e-07,2.976434222214667,5.350748943921957e-08,2.810010020662844,0.01,16.658038017400802,0.005196144019473441,19.678985127950057,0.03243939520466155,34.52053708819909,0.02281168841813894,z=Phi^{-1}(u),0.3990440210636578,820.1254159105436,0.9777777777777777,0,90,90,30,overlapping
0.2726666666666666,2.1054488571356213e-06,2.2464284444394442,2.8412877000061343e-06,2.7254982536880448,0.01,11.462511703313783,0.04294291916703811,12.877199019164463,0.2306190508572751,18.723338988746786,0.539869171401165,z=Phi^{-1}(u),0.2914009836153906,631.2349045657028,0.9888888888888889,30,120,90,30,overlapping
0.2942222222222222,2.1254168612400673e-07,2.6342742222161775,3.4807127291536233e-07,2.867175016277443,0.01,2.8262272172435186,0.7267550509760035,8.623766981581202,0.5681421801875277,16.974844881985447,0.654606478735489,z=Phi^{-1}(u),0.11641402531879155,575.1084804536024,0.9777777777777777,60,150,90,30,overlapping
0.23155555555555551,0.00010016388132884811,2.0866644444397666,6.718519995674299e-06,2.7827085726245286,0.01,2.4980109602210336,0.7767945946433434,7.9515618223672675,0.6335684254295003,15.678219357824837,0.7363755893971315,z=Phi^{-1}(u),0.025112450777495812,589.4477739344928,0.9666666666666667,90,180,90,30,overlapping
0.2844444444444444,6.155426440102724e-07,2.4070413333295777,1.1935795685147355e-06,2.442258267226123,0.01,5.785197452985096,0.3276844278344464,8.685955479463557,0.5621441809176211,16.408069926714603,0.6910074728608981,z=Phi^{-1}(u),0.11709601518843424,574.6128005779859,0.9666666666666667,120,210,90,30,overlapping
0.256,1.0917509599341712e-05,2.1066453333295776,6.033480546396852e-06,2.5392694870382684,0.01,5.971947583251812,0.3089581194432037,9.122525264758599,0.520516367940645,16.729977571823916,0.6704312895807605,z=Phi^{-1}(u),0.20126018135270812,567.4937472636269,0.9666666666666667,150,240,90,30,overlapping
0.2884444444444444,4.002794041855166e-07,2.586988444440389,4.5013741456489953e-07,2.114723134178263,0.01,2.2405456372692996,0.8149582585509159,6.6633894604114845,0.7567948359304293,15.549648636109128,0.7441408880065434,z=Phi^{-1}(u),0.12489995248068396,536.8734020998409,0.9888888888888889,180,270,90,30,overlapping
0.28355555555555556,6.767215206422577e-07,2.3446213333276447,1.6725063582967437e-06,2.5968413897620053,0.01,1.50311672922102,0.9127098647903986,10.540526781564955,0.3944159915872328,21.168568180504938,0.3872711541391796,z=Phi^{-1}(u),0.06975945324197227,582.5086570822592,0.9777777777777777,210,300,90,30,overlapping
0.28088888888888885,8.975061111194594e-07,2.1794417777733335,4.076788827855893e-06,2.29834980083794,0.01,3.20854879475053,0.6678692246761995,7.576316197060432,0.670144445778035,21.44318297039998,0.3714723406815477,z=Phi^{-1}(u),0.00515690527216484,572.6857222798312,0.9777777777777777,240,330,90,30,overlapping
0.24755555555555553,2.4105301587961954e-05,1.9824626666616665,1.176837112948359e-05,2.646729578054007,0.01,3.032059228784185,0.6950430737776789,6.157291024348704,0.8018796858369104,20.019809651999722,0.45669113665556577,z=Phi^{-1}(u),0.10720503030589508,619.4404727469945,0.9555555555555556,270,360,90,30,overlapping
0.27422222222222215,1.7955066641084095e-06,2.3094048888838667,2.0228032592273237e-06,2.4398328994916056,0.01,6.198602565400923,0.28737094613341124,20.434421667306694,0.025401436007795736,27.203980024464908,0.12962210089088055,z=Phi^{-1}(u),0.18244348158036783,667.0575530492353,0.9555555555555556,300,390,90,30,overlapping
0.28666666666666674,4.850357295042069e-07,2.993157333326889,4.879435511195851e-08,2.952069498235133,0.01,16.4349457274627,0.005706006642278622,20.456865509500435,0.02521590145908024,24.69993116962365,0.21315294409995172,z=Phi^{-1}(u),0.3187560557752961,698.7878548721454,0.9555555555555556,330,420,90,30,overlapping
0.2884444444444444,4.002794041855166e-07,2.832271111105011,1.1813462774679095e-07,3.0093167067073523,0.01,12.133259188912021,0.033006748728688855,15.6741394673617,0.10934825121370968,22.734993669640925,0.3019934956292494,z=Phi^{-1}(u),0.2837761134335251,657.9236349307308,0.9444444444444444,360,450,90,30,overlapping
0.29955555555555546,1.1707037356531576e-07,2.8191568888838,1.269299163553228e-07,2.8350356575879516,0.01,10.610335476927437,0.05967729901509782,12.11557529458619,0.27739596379772263,27.319928851121677,0.12650060949508612,z=Phi^{-1}(u),0.2659770560026027,633.2492552886445,0.9444444444444444,390,480,90,30,overlapping
0.2453333333333334,2.955419414680408e-05,1.9356133333306222,1.5139589278234666e-05,2.5918398505640567,0.01,12.051514697661844,0.03408868766143803,16.89293725079722,0.07676682989991779,52.45279329481983,9.777384818077412e-05,z=Phi^{-1}(u),0.11232084383538658,530.4750309255533,0.9444444444444444,420,510,90,30,overlapping
0.2853333333333333,5.597165052294086e-07,2.727204888885411,2.097992487515299e-07,2.0626262802468034,0.01,9.257109895003513,0.09923800835597164,15.221216981285265,0.12420241601251074,34.257090324101604,0.02443727596097168,z=Phi^{-1}(u),0.15155644261714368,539.4782270744438,0.9666666666666667,450,540,90,30,overlapping
0.27422222222222226,1.7955066641083885e-06,2.5223448888861997,6.392788499676172e-07,1.9619583208662021,0.01,7.645151852218824,0.17690683398873294,12.384465168754724,0.26014923056841166,30.601599340275097,0.06067452740500585,z=Phi^{-1}(u),0.12718753495815438,452.9199916243157,0.9777777777777777,480,570,90,30,overlapping
0.29644444444444445,1.6601210438622635e-07,2.4864044444406668,7.767625626042829e-07,2.2236853100198317,0.01,4.894443695221369,0.4288979075528965,14.160254952127536,0.16580658692736722,32.299445016447,0.04021022514720104,z=Phi^{-1}(u),0.17758974440724762,443.45698422955127,0.9888888888888889,510,600,90,30,overlapping
0.2944444444444444,2.0737333403983597e-07,2.0972248888855,6.347307579090966e-06,2.7019214925689425,0.01,8.724221270731437,0.12058267816945044,13.820755180059773,0.18132564009067106,19.692226365495397,0.47732443012049597,z=Phi^{-1}(u),0.183355948934808,399.94220562342616,0.9888888888888889,540,630,90,30,overlapping
0.25711111111111107,9.81648225140679e-06,2.017390666662745,9.752968643805815e-06,3.1364389376216195,0.01,10.579340108192824,0.06038865877177212,13.99002771412461,0.17344696091209644,20.431161290465315,0.4312653518367978,z=Phi^{-1}(u),0.2265963275777592,469.79885522724743,0.9777777777777777,570,660,90,30,overlapping
0.29266666666666674,2.5237062685863547e-07,2.5483088888849332,5.553030185678764e-07,2.366603300520694,0.01,5.403796144985136,0.368610326114165,6.286121570299944,0.7906790057290215,19.424266891749607,0.494421732382468,z=Phi^{-1}(u),0.1492584368207181,587.9123818327398,0.9666666666666667,600,690,90,30,overlapping
0.26022222222222224,7.2704603079864954e-06,2.607971111106667,4.0158958425351443e-07,2.4310800265930084,0.01,2.6909844316266667,0.7474969796161544,8.087094389414524,0.6203299270065588,14.891178109732795,0.7826001809863989,z=Phi^{-1}(u),0.08752584341193462,693.1847711374953,0.9666666666666667,630,720,90,30,overlapping
0.32866666666666666,3.6748130918754992e-09,3.0780999999920002,3.051052155367273e-08,3.060379272111817,0.01,4.77700074167904,0.44369706656072794,6.321675622345436,0.7875522879579422,17.34182423868293,0.6306790080884784,z=Phi^{-1}(u),0.1297567054325597,831.2832272047942,0.9555555555555556,660,750,90,30,overlapping
0.3031111111111111,7.81597321689861e-08,2.5960844444368893,4.2843916014945194e-07,2.944209718178044,0.01,12.905513937484956,0.02428047802929459,13.623457493893676,0.19086989475005758,20.709785435204534,0.41438784087775266,z=Phi^{-1}(u),0.16882165320553708,841.8126652197031,0.9666666666666667,690,780,90,30,overlapping
0.27088888888888885,2.5227190422928666e-06,2.3069115555491333,2.0502120444687577e-06,2.7068182184632263,0.01,10.156883566676639,0.07091011909172723,18.3011672719912,0.050090958460988586,25.467979994250904,0.18411015431227526,z=Phi^{-1}(u),0.21605305160480495,786.8673383308379,0.9666666666666667,720,810,90,30,overlapping
