empirical_coverage,window_start,window_end,window_len,window_step,window_mode,governance_label,reason_codes,reason_summary
0.7,0,50,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.200 (target=0.900).
0.48,50,100,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.420 (target=0.900).
0.72,100,150,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.180 (target=0.900).
0.62,150,200,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.280 (target=0.900).
0.6,200,250,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.300 (target=0.900).
0.6,250,300,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.300 (target=0.900).
0.66,300,350,50,50,non_overlapping,RED,['undercoverage'],Coverage off-target by 0.240 (target=0.900).
