pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.16600000000000004,1.7261388018052337e-06,2.3426453333317814,2.0068713220133816e-06,18.480628841932457,0.01,286.7657653819611,7.002456271574627e-60,288.3516752462278,4.494901504480978e-56,300.1817942165578,7.420611514186936e-52,z=Phi^{-1}(u),1108.3997757071916,0.876,0,250,250,250,non_overlapping
0.058000000000000024,0.35594570590954033,0.10466933333332933,0.5628126576635811,0.4001993920265363,0.15,664.7267232030711,2.075716961822703e-141,984.6094760467528,3.8639322563974025e-205,1154.733764887131,3.5716077783852014e-232,z=Phi^{-1}(u),1325.79325185183,0.836,250,500,250,250,non_overlapping
0.16999999999999998,8.720933843779303e-07,3.0432813333333333,5.2168038666700056e-08,1.862573352020263,0.01,663.0350381750046,4.817901037968577e-141,789.8484050106333,3.1394366325015416e-163,861.8359687221255,1.0318831367995362e-169,z=Phi^{-1}(u),1036.435856655385,0.908,500,750,250,250,non_overlapping
0.10200000000000004,0.010208977024219903,0.6678533333333334,0.015178066843319682,1.2022915112154067,0.01,650.6743840968454,2.2631738790439165e-138,755.086150323709,9.276710564212485e-156,805.333330086988,1.0438289527433063e-157,z=Phi^{-1}(u),1061.0472327296263,0.896,750,1000,250,250,non_overlapping
0.06999999999999995,0.16453977229368344,0.4119213333333333,0.06713227235980845,0.7079868623346783,0.06736080068814945,545.2162490071221,1.3799243014678747e-115,609.5418276498443,1.5888222595924027e-124,621.6435634061928,7.895389880713419e-119,z=Phi^{-1}(u),761.3530199405429,0.976,1000,1250,250,250,non_overlapping
0.306,2.821306890600364e-21,9.53052533333333,7.71428143586661e-10,1.8598987343153226,0.01,340.6963953742292,1.761596301764114e-71,349.4986454336733,5.090750637730656e-69,352.82876741523245,1.1637321465969924e-62,z=Phi^{-1}(u),1011.110756964898,0.936,1250,1500,250,250,non_overlapping
0.15400000000000003,1.211756149014716e-05,1.8568453333332333,2.5497525606987814e-05,9.54116556181998,0.01,589.2345740836815,4.283496010653013e-125,711.9653286039087,1.6946929724623999e-146,782.2493442663346,8.276953977243347e-153,z=Phi^{-1}(u),800.1208073826446,0.908,1500,1750,250,250,non_overlapping
0.21199999999999997,2.4454631950970394e-10,4.651769333333317,2.1097124047742e-11,4.317656760375854,0.01,244.05928195511262,1.0341641075786273e-50,318.32730025348576,2.0618261301760375e-62,401.198973131231,1.1528834205347018e-72,z=Phi^{-1}(u),771.3605845341242,0.928,1750,2000,250,250,non_overlapping
0.12,0.0013550102442608874,1.6748293333333333,6.642126377354174e-05,1.0352948781703617,0.01,441.1617489406702,3.959213525572813e-93,534.5982216132624,1.769184919747681e-108,564.5817277202227,8.18773307750465e-107,z=Phi^{-1}(u),671.0817608386709,0.896,2000,2250,250,250,non_overlapping
0.07600000000000007,0.10572937852947129,0.37698933333332546,0.08310111002926956,1.9947831505353122,0.01,314.46193359669303,7.776179000122237e-66,334.79455825358724,6.69124667125067e-66,347.4412597954284,1.499511310701458e-61,z=Phi^{-1}(u),608.5616726788501,0.896,2250,2500,250,250,non_overlapping
0.04999999999999999,0.5427406465653759,0.09603333333331736,0.6050513851490649,2.506547447195885,0.01,381.36360317639395,3.0774097111306165e-80,386.9273301142021,5.6886579049747534e-77,401.58608706526957,9.582411728970961e-73,z=Phi^{-1}(u),589.7743633945358,0.948,2500,2750,250,250,non_overlapping
0.13999999999999999,9.755941577025125e-05,1.4912453333332611,0.00017520023706552035,7.18005042563334,0.01,295.96562729169256,7.378294680215344e-62,315.93034147887425,6.632827038374162e-62,335.14785772265395,5.075556922026146e-59,z=Phi^{-1}(u),768.9473507666082,0.844,2750,3000,250,250,non_overlapping
0.128,0.0004967972491749738,1.7176333333332334,5.3012532659324485e-05,9.244792321278169,0.01,537.805584909563,5.4976636815318206e-114,561.6673385534023,2.852859072716612e-114,633.9252711871978,2.026072994504955e-121,z=Phi^{-1}(u),819.7759406526794,0.884,3000,3250,250,250,non_overlapping
0.21399999999999997,1.5814280556184449e-10,3.3086613333333337,1.3109698326907449e-08,2.667799762655477,0.01,787.8608221409952,4.890372354130993e-168,1042.4119299154086,1.36235765100094e-217,1089.7984945590397,2.676492646793039e-218,z=Phi^{-1}(u),727.8641743582066,0.892,3250,3500,250,250,non_overlapping
0.09000000000000008,0.03269013251541786,0.42159733333318944,0.06331908780822659,8.727490617425929,0.01,482.33215251172095,5.193263885694622e-102,563.344624887944,1.2480259349991081e-114,827.2148484506768,2.353101203776053e-162,z=Phi^{-1}(u),807.5378872371718,0.852,3500,3750,250,250,non_overlapping
0.16600000000000004,1.7261388018052337e-06,2.811169333333217,1.7463448498400425e-07,6.789040065241068,0.01,544.0740041305968,2.4351704880608207e-115,624.7114389643642,8.904315719007448e-128,644.5348948594693,1.1680795131898808e-123,z=Phi^{-1}(u),1103.8080804687486,0.832,3750,4000,250,250,non_overlapping
0.18000000000000005,1.471143755962186e-07,2.5728173333333335,6.043640223829527e-07,0.2636926296665365,0.15,397.42514303930864,1.0646397728373887e-83,406.19243334213934,4.525070414211707e-81,444.44637889849275,1.17194230607985e-81,z=Phi^{-1}(u),366.7721949293629,1.0,4000,4250,250,250,non_overlapping
0.09400000000000008,0.022540656815329525,0.44045733333333337,0.056537651518065224,1.6739915067128663,0.01,729.5696577152802,1.982281349146408e-155,947.1188960428116,4.5783367089820245e-197,1063.722530598671,9.89480460381185e-213,z=Phi^{-1}(u),811.6687746604784,0.904,4250,4500,250,250,non_overlapping
0.16000000000000003,4.659433156552614e-06,2.4641013333333333,1.0650684214574824e-06,0.5098692347996234,0.15,438.94288923503,1.1916763891131527e-92,460.4462945812729,1.2340152732508919e-92,500.4948180308166,2.292634250470505e-93,z=Phi^{-1}(u),528.7336953426588,0.956,4500,4750,250,250,non_overlapping
0.068,0.18911898321542808,0.27345333333333327,0.16089009485238626,0.4866697359476291,0.15,342.7708780418885,6.300422788304075e-72,371.88610935440954,8.967235872869167e-74,398.1794063290675,4.876406392708148e-72,z=Phi^{-1}(u),461.84851151905366,0.96,4750,5000,250,250,non_overlapping
0.09200000000000003,0.027200130055278993,0.8498573333330374,0.005515299342962354,6.926235541548067,0.01,455.2338811956504,3.649624936887726e-96,474.21071166650086,1.4235212857964452e-95,499.51349753031747,3.679477566016906e-93,z=Phi^{-1}(u),822.7802072463224,0.744,5000,5250,250,250,non_overlapping
0.21200000000000002,2.445463195097008e-10,4.307997333333334,7.269651547403555e-11,1.415617936279716,0.01,592.2814494304516,9.408628039317818e-126,795.1224085368052,2.3075338151456004e-164,927.0055995651453,1.401189562845299e-183,z=Phi^{-1}(u),775.6438318451897,0.844,5250,5500,250,250,non_overlapping
0.216,1.0183309459024907e-10,4.224989333333334,1.1085488083040218e-10,2.292251325389543,0.01,513.1157139006762,1.1776517830137078e-108,577.7283083198781,1.0386991832381573e-117,583.8048407696533,7.401476335117479e-111,z=Phi^{-1}(u),637.352219260393,0.948,5500,5750,250,250,non_overlapping
0.11399999999999999,0.0027553557925281188,0.9834813333332814,0.002657132788879246,3.4184865691955792,0.01,478.6889239478188,3.174232147138915e-101,519.3677485880132,3.1989711305337763e-105,555.3283159562261,7.213733529779234e-105,z=Phi^{-1}(u),858.3853141596778,0.844,5750,6000,250,250,non_overlapping
0.07399999999999995,0.12302433740055985,0.2749213333333174,0.15932843952360065,2.6312499322739313,0.01,428.53893426849646,2.0883041242134914e-90,539.531287417527,1.557644106694036e-109,560.0077650627436,7.493903162112118e-106,z=Phi^{-1}(u),664.2271656983013,0.928,6000,6250,250,250,non_overlapping
0.068,0.18911898321542808,0.17592133333333332,0.31955215441136353,0.489583104542362,0.15,490.2168475464956,1.0323341427462907e-103,509.47657051962153,4.1646660735420915e-103,514.2291872380822,3.0432648050561004e-96,z=Phi^{-1}(u),639.0728268371056,0.94,6250,6500,250,250,non_overlapping
0.16400000000000003,2.4133932149658096e-06,2.5812733333333173,5.783175144324915e-07,2.4064243533916567,0.01,364.2137366298927,1.522010243813384e-76,374.8662164297559,2.0860604323060864e-74,480.4931702963017,3.506672498151618e-89,z=Phi^{-1}(u),726.8958349124238,0.888,6500,6750,250,250,non_overlapping
0.11599999999999999,0.002183738235152538,0.8717373333333333,0.0048906392543527355,0.6522498415150153,0.09039262747313417,510.8312087100415,3.666024703409424e-108,528.5645015843231,3.45410520609239e-107,563.5281895161464,1.3635233378635293e-106,z=Phi^{-1}(u),444.5928302301001,0.968,6750,7000,250,250,non_overlapping
0.13799999999999998,0.0001292813412389302,1.7310013333330774,4.940991624768909e-05,5.294345505476315,0.01,571.9550871233786,2.3156265969613873e-121,642.9865842802939,1.074320626508342e-131,686.5008372389666,1.5866395466290928e-132,z=Phi^{-1}(u),1019.829973817286,0.772,7000,7250,250,250,non_overlapping
0.06400000000000002,0.2467324500849858,0.33364133333333335,0.1089313917746102,0.6776151881344674,0.07991107928327792,622.675273695256,2.547324404351251e-132,729.7567287964804,2.561503692100511e-150,739.134345643403,1.1459638439849594e-143,z=Phi^{-1}(u),575.1813469476208,0.924,7250,7500,250,250,non_overlapping
0.16599999999999998,1.7261388018052491e-06,2.5256333333333334,7.728174180599012e-07,1.0223300594988132,0.010895364861221004,753.0183146562964,1.682312859599483e-160,932.544276899227,6.290185873192801e-194,980.0932117113472,6.852831444596779e-195,z=Phi^{-1}(u),782.5574184665077,0.888,7500,7750,250,250,non_overlapping
0.07200000000000001,0.14256695358522586,0.4050773333331374,0.06997824117710139,6.736106456557479,0.01,451.78205298721986,2.0270600826996273e-95,468.4555801483899,2.4096495961663154e-94,539.4722359787156,1.5433419051853196e-101,z=Phi^{-1}(u),952.9062855285662,0.832,7750,8000,250,250,non_overlapping
0.2,3.058649177480583e-09,3.7467613333333296,1.399468319007724e-09,2.523191751403374,0.01,713.7186151492295,5.307688797856292e-152,1080.9262704012453,6.822066565286345e-226,1493.1916811485555,1.1503055911412797e-304,z=Phi^{-1}(u),782.7545620144533,0.868,8000,8250,250,250,non_overlapping
0.08400000000000007,0.05538907401547355,0.2709933333333333,0.16354646971522546,0.8164832979769585,0.036149312921466975,890.8843419437625,2.499974470547309e-190,1274.6716730549854,1.118291824924296e-267,1430.9251598142616,2.603507154529246e-291,z=Phi^{-1}(u),863.8156440288176,0.868,8250,8500,250,250,non_overlapping
0.14999999999999997,2.2447668867543943e-05,2.620925333333329,4.703382545656609e-07,1.8664778048745063,0.01,375.46701660254854,5.734758848437904e-79,384.80119877727645,1.6112819240965392e-76,387.2992398018184,8.769611386156251e-70,z=Phi^{-1}(u),814.3153905077791,0.916,8500,8750,250,250,non_overlapping
0.12800000000000003,0.0004967972491749718,1.3687813333333172,0.0003356191234320516,3.60837364654725,0.01,475.0358729598538,1.9494812288827173e-100,499.4516538496468,5.78200011720573e-101,562.9851272698057,1.773504315054672e-106,z=Phi^{-1}(u),696.6948284606173,0.936,8750,9000,250,250,non_overlapping
