pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode,governance_label,reason_codes,reason_summary
0.1699999999999999,8.720933843779303e-07,3.0432813333333333,5.2168038666700056e-08,1.862573352020263,0.01,663.0350381750046,4.817901037968577e-141,789.8484050106333,3.1394366325015416e-163,861.8359687221255,1.0318831367995362e-169,z=Phi^{-1}(u),0.9251223343300612,1036.435856655385,0.908,500,750,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=5.22e-08, KS=0.1700).; Independence strongly rejected (min Ljung-Box p=1.03e-169, |ACF lag-1|=0.9251)."
0.13,0.0003826527409824,1.3608573333333334,0.0003500714253177,2.302389603878339,0.01,609.05659563845,2.2334867350928583e-129,685.5830169786379,7.807839772487778e-141,780.4595193646506,1.9842481414479403e-152,z=Phi^{-1}(u),0.917833470490118,1044.8160023807757,0.896,550,800,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=0.00035, KS=0.1300).; Independence strongly rejected (min Ljung-Box p=1.98e-152, |ACF lag-1|=0.9178)."
0.056,0.398540394838254,0.2113773333333333,0.2465448742809353,2.147704879529812,0.01,660.3406777745008,1.8419853237611923e-140,784.7702639008647,3.875964880058546e-162,926.8377997462404,1.5213464726800601e-183,z=Phi^{-1}(u),0.9281066473019902,1073.2427348333797,0.904,600,850,250,50,overlapping,RED,['ACF_dependence_fail'],"Independence strongly rejected (min Ljung-Box p=1.52e-183, |ACF lag-1|=0.9281)."
0.09,0.0326901325154178,0.4841173333333334,0.0436338092663471,1.82049317826295,0.01,650.0909932709736,3.025638818869417e-138,778.7627173032039,7.578561538800102e-161,892.7284804622869,2.771665724777265e-176,z=Phi^{-1}(u),0.9249640880008332,1036.2013542063823,0.924,650,900,250,50,overlapping,RED,"['PIT_uniformity_warn', 'ACF_dependence_fail', 'coverage_warn']","Uniformity weakly rejected (min p=0.0327).; Independence strongly rejected (min Ljung-Box p=2.77e-176, |ACF lag-1|=0.9250).; Coverage mildly off-target by 0.024 (target=0.900)."
0.06,0.3164237517245055,0.2105093333333333,0.2480773903543601,0.9838621305075606,0.0144572101381888,614.8846859767419,1.2291742034739233e-130,712.0453155442015,1.6289835140013185e-146,769.9906997406118,3.297811499908105e-150,z=Phi^{-1}(u),0.9253177967613008,1048.6934882152086,0.924,700,950,250,50,overlapping,RED,"['ACF_dependence_fail', 'coverage_warn']","Independence strongly rejected (min Ljung-Box p=3.3e-150, |ACF lag-1|=0.9253).; Coverage mildly off-target by 0.024 (target=0.900)."
0.102,0.0102089770242199,0.6678533333333334,0.0151780668433196,1.202291511215407,0.01,650.6743840968454,2.2631738790439162e-138,755.086150323709,9.276710564212485e-156,805.333330086988,1.0438289527433064e-157,z=Phi^{-1}(u),0.9305154140874852,1061.0472327296263,0.896,750,1000,250,50,overlapping,RED,"['PIT_uniformity_warn', 'ACF_dependence_fail']","Uniformity weakly rejected (min p=0.0102).; Independence strongly rejected (min Ljung-Box p=1.04e-157, |ACF lag-1|=0.9305)."
0.072,0.1425669535852258,0.3544773333333333,0.095556695455686,1.245152778897932,0.01,649.5179971007169,4.024101684952841e-138,787.104986772233,1.2205301324633814e-162,852.3162948420014,1.09015939337169e-167,z=Phi^{-1}(u),0.9324557047492824,1025.607118270017,0.9,800,1050,250,50,overlapping,RED,['ACF_dependence_fail'],"Independence strongly rejected (min Ljung-Box p=1.09e-167, |ACF lag-1|=0.9325)."
0.1099999999999999,0.0043334485784834,1.0313453333333331,0.0020495738231396,1.0367084636541222,0.01,606.135119531911,9.555465366573508e-129,711.7088620943439,1.9237910817459741e-146,737.2868231205354,2.822280310187697e-143,z=Phi^{-1}(u),0.9231985498377618,971.4406821070684,0.896,850,1100,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=0.00205, KS=0.1100).; Independence strongly rejected (min Ljung-Box p=1.92e-146, |ACF lag-1|=0.9232)."
0.084,0.0553890740154738,0.4945013333333334,0.0410500833047193,0.4445439730152998,0.15,602.1430028790684,6.963674789837271e-128,757.8586710384043,2.353416200123906e-156,812.6455665636155,2.924407992168536e-159,z=Phi^{-1}(u),0.91563205306755,901.9803663341974,0.928,900,1150,250,50,overlapping,RED,"['PIT_uniformity_warn', 'ACF_dependence_fail', 'coverage_warn']","Uniformity weakly rejected (min p=0.0411).; Independence strongly rejected (min Ljung-Box p=2.92e-159, |ACF lag-1|=0.9156).; Coverage mildly off-target by 0.028 (target=0.900)."
0.0539999999999999,0.4440650591425555,0.1436093333333333,0.4098722602430876,0.3897068707149742,0.15,598.5940760294967,4.070428376517328e-127,736.9772472710845,7.2050385639815775e-152,783.4740751644895,4.55011637457597e-153,z=Phi^{-1}(u),0.9158491439750972,857.6568049861905,0.928,950,1200,250,50,overlapping,RED,"['ACF_dependence_fail', 'coverage_warn']","Independence strongly rejected (min Ljung-Box p=4.55e-153, |ACF lag-1|=0.9158).; Coverage mildly off-target by 0.028 (target=0.900)."
